Team,Opponent,REG,W/L,Score,Spread W/L,Spread,O/U W/L,O/U,Home/Away
Baylor, Mississippi Valley State,REG,W,117-53,W,-45,O,143.5,1
Kentucky, South Carolina State,REG,W,106-63,W,-40.5,O,145.5,1
Connecticut, LIU,REG,W,114-61,W,-40,O,144.5,1
Kentucky, Florida A&M,REG,W,88-68,L,-37.5,O,134.5,1
Texas, Arkansas-Pine Bluff,REG,W,88-43,W,-37.5,U,139.5,1
Texas, Houston Baptist,REG,W,82-31,W,-37,U,138.5,1
Baylor, McNeese State,REG,W,89-60,L,-36.5,U,152.5,1
Purdue, Florida A&M,REG,W,82-49,L,-36.5,U,132.5,1
Tennessee, Tennessee Tech,REG,W,75-43,L,-35.5,U,142.5,1
TCU, Arkansas-Pine Bluff,REG,W,73-72,L,-35,O,143.5,1
TCU, Lamar,REG,W,77-66,L,-35,O,135.5,1
Houston, McNeese State,REG,W,83-44,W,-35,O,126.5,1
Tennessee, McNeese State,REG,W,76-40,W,-35,U,134,1
Mississippi State, Mississippi Valley State,REG,W,82-52,L,-34,O,121.5,1
Virginia Tech, Delaware State,REG,W,95-57,W,-34,O,137,1
Kansas, Nebraska-Omaha,REG,W,89-64,L,-33.5,O,148.5,1
Missouri, Mississippi Valley State,REG,W,83-62,L,-33.5,U,147,1
Villanova, Delaware State,REG,W,60-50,L,-33.5,U,139,1
Texas, UTRGV,REG,W,91-54,W,-33.5,P,145,1
Texas Tech, Houston Baptist,REG,W,111-67,W,-33.5,O,146.5,1
St. John's, LIU,REG,W,95-68,L,-33,O,154.5,1
Connecticut, Delaware State,REG,W,95-60,W,-33,O,134,1
TCU, Mississippi Valley State,REG,W,88-43,W,-33,U,132.5,1
Gonzaga, Northern Illinois,REG,W,88-67,L,-32.5,O,154,1
Illinois, Alabama A&M,REG,W,68-47,L,-32.5,U,148.5,1
Purdue, New Orleans,REG,W,74-53,L,-32.5,U,149,1
Illinois, Lindenwood,REG,W,92-59,W,-32.5,O,148.5,1
Houston, North Carolina A&T,REG,W,74-46,L,-32,U,129,1
Miami, Florida A&M,REG,W,87-61,L,-32,O,131,1
Houston, North Florida,REG,W,76-42,W,-32,U,138,1
Indiana, Bethune-Cookman,REG,W,101-49,W,-32,O,140,1
Dayton, Lindenwood,REG,W,73-46,L,-31.5,U,137,1
Duke, Maryland-Eastern Shore,REG,W,82-55,L,-31.5,O,136,1
Illinois, Eastern Illinois,REG,W,87-57,L,-31.5,O,134,1
Iowa, Eastern Illinois,REG,L,92-83,L,-31.5,O,147.5,1
Florida, Florida A&M,REG,W,102-62,W,-31.5,O,139.5,1
Houston, Texas Southern,REG,W,83-48,W,-31.5,U,132.5,1
Texas Tech, South Carolina State,REG,W,110-71,W,-31.5,O,146.5,1
Arizona, Morgan State,REG,W,93-68,L,-31,O,159.5,1
Memphis, Alabama State,REG,W,83-61,L,-31,U,146,1
Ohio State, Eastern Illinois,REG,W,65-43,L,-31,U,131.5,1
Connecticut, Stonehill College,REG,W,85-54,W,-30.5,U,142,1
Creighton, North Dakota,REG,W,96-61,W,-30.5,O,140.5,1
Gonzaga, North Florida,REG,W,104-63,W,-30.5,O,160.5,1
Oregon, Florida A&M,REG,W,80-45,W,-30.5,U,136,1
Creighton, Holy Cross,REG,W,94-65,L,-30,O,145,1
Penn State, Delaware State,REG,W,60-46,L,-30,U,138.5,1
Texas, Texas A&M-Commerce,REG,W,97-72,L,-30,O,139.5,1
Illinois, Bethune-Cookman,REG,W,85-52,W,-30,U,143.5,1
Alabama, Jackson State,REG,W,84-64,L,-29.5,U,154,1
Tulane, Mississippi Valley State,REG,W,84-63,L,-29.5,O,139.5,1
Iowa, Nebraska-Omaha,REG,W,100-64,W,-29.5,O,159,1
Marquette, LIU,REG,W,95-58,W,-29.5,U,153.5,1
Missouri, Houston Baptist,REG,W,105-69,W,-29.5,O,156.5,1
Ohio State, St. Francis-Pennsylvania,REG,W,96-59,W,-29.5,O,144.5,1
Duke, USC Upstate,REG,W,84-38,W,-29,U,149.5,1
Creighton, St. Thomas (MN),REG,W,72-60,L,-28.5,U,149.5,1
Indiana, Arkansas-Little Rock,REG,W,87-68,L,-28.5,O,150.5,1
Memphis, Arkansas-Little Rock,REG,W,87-71,L,-28.5,O,149.5,1
Virginia, Maryland-Eastern Shore,REG,W,72-45,L,-28.5,U,123.5,1
Iowa, Bethune-Cookman,REG,W,89-58,W,-28.5,U,151.5,1
James Madison, LIU,REG,W,115-79,W,-28.5,O,155,1
Arizona, Southern,REG,W,95-78,L,-28,O,161.5,1
Arizona, Dixie State,REG,W,104-77,L,-28,O,164,1
Gonzaga, Portland State,REG,W,102-78,L,-28,O,162.5,1
Texas Tech, Northwestern State,REG,W,73-49,L,-28,U,141.5,1
Baylor, Northern Colorado,REG,W,95-62,W,-28,O,156,1
Missouri, Lindenwood,REG,W,82-53,W,-28,U,153.5,1
Tennessee, Eastern Kentucky,REG,W,84-49,W,-28,U,142,1
Tennessee, Austin Peay,REG,W,86-44,W,-28,O,127.5,1
Baylor, Norfolk State,REG,W,87-70,L,-27.5,O,148,1
Marquette, Chicago State,REG,W,82-68,L,-27.5,O,147.5,1
Memphis, North Alabama,REG,W,87-68,L,-27.5,O,142.5,1
St. John's, Central Connecticut State,REG,W,91-74,L,-27.5,O,154,1
Illinois, Monmouth,REG,W,103-65,W,-27.5,O,142.5,1
Indiana, Miami-Ohio,REG,W,86-56,W,-27.5,U,148.5,1
Indiana, Jackson State,REG,W,90-51,W,-27.5,U,146.5,1
Kentucky, North Florida,REG,W,96-56,W,-27.5,U,153,1
Tennessee, Alcorn State,REG,W,94-40,W,-27.5,O,131,1
Indiana, Elon,REG,W,96-72,L,-27,O,140,1
Oklahoma, Arkansas-Pine Bluff,REG,W,66-58,L,-27,U,143,1
Virginia, Albany,REG,W,66-46,L,-27,U,126,1
Wichita State, Mississippi Valley State,REG,W,71-48,L,-27,U,126,1
Wisconsin, Wisconsin-Green Bay,REG,W,56-45,L,-27,U,131,1
Drake, IUPUI,REG,W,80-48,W,-27,U,131,1
Kansas State, Incarnate Word,REG,W,98-50,W,-27,O,132.5,1
Ohio State, Alabama A&M,REG,W,90-59,W,-27,O,145,1
Baylor, Northwestern State,REG,W,58-48,L,-26.5,U,154,1
Loyola-Chicago, Fairleigh Dickinson,REG,W,88-82,L,-26.5,O,143.5,1
Miami, Lafayette,REG,W,67-54,L,-26.5,U,142.5,1
Ohio State, Charleston Southern,REG,W,82-56,L,-26.5,U,147.5,1
Texas, Northern Arizona,REG,W,73-48,L,-26.5,U,132.5,1
UCLA, Denver,REG,W,87-64,L,-26.5,O,146.5,1
Virginia Tech, William & Mary,REG,W,94-77,L,-26.5,O,137,1
West Virginia, Stony Brook,REG,W,75-64,L,-26.5,O,138.5,1
Florida, Stony Brook,REG,W,81-45,W,-26.5,U,143,1
Houston, Norfolk State,REG,W,100-52,W,-26.5,O,128.5,1
Iowa State, IUPUI,REG,W,88-39,W,-26.5,U,131,1
North Carolina, The Citadel,REG,W,100-67,W,-26.5,O,146,1
Rutgers, Central Connecticut State,REG,W,83-49,W,-26.5,O,130.5,1
Wake Forest, South Carolina State,REG,W,105-74,W,-26.5,O,145.5,1
Furman, South Carolina State,REG,W,88-76,L,-26,O,148.5,1
Georgia, Florida A&M,REG,W,68-46,L,-26,U,130.5,1
Colorado State, Mississippi Valley State,REG,W,88-45,W,-26,U,133.5,1
Iowa State, McNeese State,REG,W,77-40,W,-26,U,129,1
San Francisco, Hartford,REG,W,85-53,W,-26,U,139.5,1
UAB, Alabama State,REG,W,111-70,W,-26,O,149.5,1
UAB, Presbyterian,REG,W,92-61,W,-26,O,143,1
Kentucky, Bellarmine,REG,W,60-41,L,-25.5,U,138,1
NC State, Elon,REG,W,74-63,L,-25.5,U,158,1
South Carolina, South Carolina State,REG,W,80-77,L,-25.5,O,138,1
UNLV, Incarnate Word,REG,W,88-63,L,-25.5,O,133,1
Illinois, UMKC,REG,W,86-48,W,-25.5,U,141.5,1
Kansas, Texas Southern,REG,W,87-55,W,-25.5,O,141.5,1
TCU, Central Arkansas,REG,W,103-57,W,-25.5,O,155,1
UCLA, Sacramento State,REG,W,76-50,W,-25.5,U,135,1
Hawaii, Mississippi Valley State,REG,W,72-54,L,-25,U,134.5,1
Miami, St. Francis-Pennsylvania,REG,W,91-76,L,-25,O,148,1
Virginia Tech, Charleston Southern,REG,W,69-64,L,-25,U,143.5,1
Arizona, Texas A&M-Corpus Christi,REG,W,99-61,W,-25,U,165,1
Kentucky, Howard,REG,W,95-63,W,-25,O,148.5,1
Purdue, Wisconsin-Milwaukee,REG,W,84-53,W,-25,U,145.5,1
Rutgers, Coppin State,REG,W,90-57,W,-25,O,143,1
Utah, LIU,REG,W,89-48,W,-25,U,143.5,1
Auburn, Texas Southern,REG,W,72-56,L,-24.5,U,148,1
Iowa State, North Dakota,REG,W,63-44,L,-24.5,U,133.5,1
Kansas, North Dakota State,REG,W,82-59,L,-24.5,U,147,1
Miami, St. Francis-Brooklyn,REG,W,79-56,L,-24.5,U,142.5,1
Purdue, Austin Peay,REG,W,63-44,L,-24.5,U,138.5,1
Texas, Rice,REG,W,87-81,L,-24.5,O,142,1
Virginia, North Carolina Central,REG,W,73-61,L,-24.5,O,127.5,1
Arizona, Nicholls State,REG,W,117-75,W,-24.5,O,160,1
Indiana, Morehead State,REG,W,88-53,W,-24.5,O,139,1
Iowa, North Carolina A&T,REG,W,112-71,W,-24.5,O,156,1
LSU, New Orleans,REG,W,91-62,W,-24.5,O,149.5,1
Stanford, Wisconsin-Green Bay,REG,W,85-40,W,-24.5,U,129.5,1
Virginia, Monmouth,REG,W,89-42,W,-24.5,O,122.5,1
Duke, Bellarmine,REG,W,74-57,L,-24,U,138.5,1
Maryland, Coppin State,REG,W,95-79,L,-24,O,145.5,1
Saint Louis, Evansville,REG,W,83-65,L,-24,O,145,1
St. John's, Lafayette,REG,W,83-68,L,-24,O,149.5,1
Northwestern, Chicago State,REG,W,85-54,W,-24,U,140.5,1
Ohio State, Maine,REG,W,95-61,W,-24,O,139,1
USC, Alabama State,REG,W,96-58,W,-24,O,144.5,1
Western Kentucky, South Carolina State,REG,W,90-64,W,-24,O,145.5,1
Arizona, California,REG,W,81-68,L,-23.5,O,142,1
BYU, Idaho State,REG,W,60-56,L,-23.5,U,141.5,1
Gonzaga, Montana,REG,W,85-75,L,-23.5,O,148,1
Iowa State, Wisconsin-Milwaukee,REG,W,68-53,L,-23.5,U,134.5,1
Iowa State, Western Michigan,REG,W,73-57,L,-23.5,O,128,1
Kentucky, Louisville,REG,W,86-63,L,-23.5,O,137,1
Purdue, Hofstra,REG,W,85-66,L,-23.5,O,143.5,1
UAB, UTSA,REG,W,90-67,L,-23.5,P,157,1
Xavier, Morgan State,REG,W,96-73,L,-23.5,O,146.5,1
BYU, Lindenwood,REG,W,90-61,W,-23.5,O,148.5,1
Duke, Delaware,REG,W,92-58,W,-23.5,O,142,1
Houston, Northern Colorado,REG,W,83-36,W,-23.5,U,139.5,1
Liberty, Delaware State,REG,W,80-53,W,-23.5,P,133,1
Portland, Florida A&M,REG,W,91-54,W,-23.5,O,141.5,1
Providence, Albany,REG,W,93-55,W,-23.5,O,140.5,1
UCLA, UC Davis,REG,W,81-54,W,-23.5,U,146,1
Xavier, Southeastern Louisiana,REG,W,95-63,W,-23.5,O,153,1
LSU, UMKC,REG,W,74-63,L,-23,U,137.5,1
Mississippi State, Nebraska-Omaha,REG,W,74-54,L,-23,U,128.5,1
North Carolina, UNC Wilmington,REG,W,69-56,L,-23,U,152,1
Oklahoma, Central Arkansas,REG,W,87-66,L,-23,O,147.5,1
Utah, Idaho State,REG,W,70-58,L,-23,U,134,1
San Diego State, Cal State-Fullerton,REG,W,80-57,P,-23,O,136.5,1
Providence, Stonehill College,REG,W,100-76,W,-23,O,146,1
Arkansas, North Dakota State,REG,W,76-58,L,-22.5,U,142,1
Cincinnati, Cleveland State,REG,W,69-58,L,-22.5,U,138.5,1
Michigan, Jackson State,REG,W,78-68,L,-22.5,U,147.5,1
Ole Miss, North Alabama,REG,L,66-65,L,-22.5,U,141.5,1
North Carolina, Gardner-Webb,REG,W,72-66,L,-22.5,U,142.5,1
Providence, Columbia,REG,W,78-64,L,-22.5,U,145.5,1
Richmond, VMI,REG,W,69-48,L,-22.5,U,142.5,1
St. John's, New Hampshire,REG,W,64-51,L,-22.5,U,144,1
Syracuse, Monmouth,REG,W,86-71,L,-22.5,O,140.5,1
Texas Tech, Nicholls State,REG,W,78-71,L,-22.5,O,139,1
UCLA, Bellarmine,REG,W,81-60,L,-22.5,O,135,1
Utah, UTSA,REG,W,91-70,L,-22.5,O,140.5,1
VCU, Manhattan,REG,W,73-56,L,-22.5,U,133.5,1
Wisconsin, Lehigh,REG,W,78-56,L,-22.5,O,132.5,1
Xavier, Southern,REG,W,79-59,L,-22.5,U,157,1
Arkansas, UNC Asheville,REG,W,85-51,W,-22.5,U,151.5,1
Boise State, New Orleans,REG,W,91-50,W,-22.5,U,142.5,1
Maryland, Saint Peter's,REG,W,75-45,W,-22.5,U,132,1
San Diego State, UC San Diego,REG,W,62-46,L,-22,U,134.5,1
NC State, Coppin State,REG,W,94-72,P,-22,O,159.5,1
Cincinnati, NJIT,REG,W,86-60,W,-22,O,132.5,1
Colorado, North Alabama,REG,W,84-60,W,-22,U,147.5,1
Houston, Saint Joseph's,REG,W,81-55,W,-22,O,133,0
Iowa, Southeast Missouri State,REG,W,106-75,W,-22,O,154.5,1
Mississippi State, Arkansas-Pine Bluff,REG,W,80-47,W,-22,U,134,1
Virginia Tech, Lehigh,REG,W,78-52,W,-22,U,139.5,1
Davidson, VMI,REG,W,75-71,L,-21.5,O,143,1
Duke, Oregon State,REG,W,54-51,L,-21.5,U,138,0
Kansas, Southern Utah,REG,W,82-76,L,-21.5,O,152.5,1
Kansas, Harvard,REG,W,68-54,L,-21.5,U,139,1
Michigan, Central Michigan,REG,L,63-61,L,-21.5,U,147,1
Mississippi State, Nicholls State,REG,W,68-66,L,-21.5,U,138.5,1
Missouri, Southeast Missouri State,REG,W,96-89,L,-21.5,O,155,1
TCU, Northwestern State,REG,L,64-63,L,-21.5,U,137,1
Texas, UTEP,REG,W,72-57,L,-21.5,P,129,1
Wyoming, Southeastern Louisiana,REG,L,76-72,L,-21.5,U,148.5,1
Alabama, Jacksonville State,REG,W,104-62,W,-21.5,O,149,1
Colgate, Hartford,REG,W,92-58,W,-21.5,O,144.5,0
College of Charleston, Hampton,REG,W,89-61,W,-21.5,U,151.5,1
Yale, Mississippi Valley State,REG,W,80-51,W,-21.5,U,133.5,0
Clemson, USC Upstate,REG,W,81-70,L,-21,O,138,1
Connecticut, Georgetown University,REG,W,84-73,L,-21,O,149,1
Marshall, Chicago State,REG,W,82-70,L,-21,U,155.5,1
Michigan State, Northern Arizona,REG,W,73-55,L,-21,U,144,1
Michigan State, Oakland,REG,W,67-54,L,-21,U,144.5,1
Nebraska, Maine,REG,W,79-66,L,-21,P,145,1
Penn State, Lafayette,REG,W,70-57,L,-21,U,128.5,1
Tulane, Charleston Southern,REG,W,99-79,L,-21,O,146.5,1
Tulsa, Mississippi Valley State,REG,W,66-51,L,-21,U,135.5,1
Arizona, Montana State,REG,W,85-64,P,-21,U,157.5,1
NC State, William & Mary,REG,W,85-64,P,-21,O,146.5,1
Baylor, Nicholls State,REG,W,85-56,W,-21,U,148.5,1
Gonzaga, Pepperdine,REG,W,111-88,W,-21,O,160,1
Maryland, Binghamton,REG,W,76-52,W,-21,U,137,1
Rutgers, Sacred Heart,REG,W,88-50,W,-21,U,139.5,1
Tennessee, Florida Gulf Coast,REG,W,81-50,W,-21,U,139.5,1
UCLA, Norfolk State,REG,W,86-56,W,-21,U,144,1
Arkansas, UNC Greensboro,REG,W,65-58,L,-20.5,U,135.5,1
Boston College, Maine,REG,L,69-64,L,-20.5,U,136.5,1
Connecticut, Buffalo,REG,W,84-64,L,-20.5,U,153.5,1
Dayton, Robert Morris,REG,W,60-51,L,-20.5,U,134.5,1
Florida, Kennesaw State,REG,W,88-78,L,-20.5,O,142,1
Mississippi State, Jackson State,REG,W,69-59,L,-20.5,U,131.5,1
New Mexico, UTSA,REG,W,94-76,L,-20.5,O,148,1
Oklahoma State, Texas-Arlington,REG,W,77-66,L,-20.5,O,134,1
Tulane, McNeese State,REG,W,75-58,L,-20.5,U,152,1
Dayton, Alcorn State,REG,W,88-46,W,-20.5,O,130.5,1
Duquesne, South Carolina State,REG,W,96-71,W,-20.5,O,142.5,1
Kent State, Chicago State,REG,W,88-59,W,-20.5,U,148,1
Oklahoma State, Prairie View A&M,REG,W,78-53,W,-20.5,U,142,1
St. John's, Merrimack,REG,W,97-72,W,-20.5,O,139.5,1
Texas A&M, Louisiana-Monroe,REG,W,87-54,W,-20.5,O,137,1
Wake Forest, Hampton,REG,W,97-70,W,-20.5,O,148,1
Auburn, South Florida,REG,W,67-59,L,-20,U,133.5,1
Butler, Tennessee Tech,REG,W,80-66,L,-20,O,139,1
Drake, Nebraska-Omaha,REG,W,78-65,L,-20,O,142,1
Duquesne, Alabama State,REG,W,75-57,L,-20,U,148.5,1
Ole Miss, Alcorn State,REG,W,73-58,L,-20,U,135,1
Pittsburgh, Alabama State,REG,W,73-54,L,-20,U,149,1
Towson, LIU,REG,W,74-64,L,-20,U,138.5,0
VCU, Morgan State,REG,W,69-54,L,-20,U,151.5,1
Wisconsin, Western Michigan,REG,W,76-66,L,-20,O,125.5,1
Xavier, Fairfield,REG,W,78-65,L,-20,O,139,1
Houston, Oral Roberts,REG,W,83-45,W,-20,U,142.5,1
Houston, Tulsa,REG,W,89-50,W,-20,O,134.5,0
Kent State, Arkansas-Pine Bluff,REG,W,94-68,W,-20,O,140,1
Ohio State, Robert Morris,REG,W,91-53,W,-20,O,139.5,1
Providence, Manhattan,REG,W,99-59,W,-20,O,134,1
TCU, Jackson State,REG,W,78-51,W,-20,U,139,1
Auburn, Georgia State,REG,W,72-64,L,-19.5,O,134.5,1
Houston, Kent State,REG,W,49-44,L,-19.5,U,134,1
Marquette, Radford,REG,W,79-69,L,-19.5,O,138.5,1
Ole Miss, Tennessee-Martin,REG,W,72-68,L,-19.5,O,138.5,1
Missouri, Southern Indiana,REG,W,97-91,L,-19.5,O,141,1
Providence, Merrimack,REG,W,71-57,L,-19.5,U,131.5,1
Purdue, Minnesota,REG,W,89-70,L,-19.5,O,131.5,1
Saint Louis, Tennessee State,REG,W,80-63,L,-19.5,U,148,1
San Francisco, Merrimack,REG,W,69-51,L,-19.5,U,138,1
Tulane, Louisiana-Monroe,REG,W,75-60,L,-19.5,U,141.5,1
VCU, Howard,REG,W,70-60,L,-19.5,U,133,1
Arkansas, Fordham,REG,W,74-48,W,-19.5,U,141.5,1
Arkansas, San Jose State,REG,W,99-58,W,-19.5,O,133.5,1
Butler, St. Francis-Pennsylvania,REG,W,95-67,W,-19.5,O,140.5,1
Connecticut, Boston University,REG,W,86-57,W,-19.5,O,139.5,1
Furman, VMI,REG,W,85-62,W,-19.5,U,149,1
Iowa State, North Carolina A&T,REG,W,80-43,W,-19.5,U,136.5,1
Maryland, Western Carolina,REG,W,71-51,W,-19.5,U,143,1
San Diego State, Kennesaw State,REG,W,88-54,W,-19.5,O,137,1
Seton Hall, Monmouth,REG,W,79-52,W,-19.5,U,134.5,1
Southern Mississippi, Lamar,REG,W,95-59,W,-19.5,O,132.5,1
Texas Tech, Texas Southern,REG,W,78-54,W,-19.5,U,139.5,1
UCLA, Long Beach State,REG,W,93-69,W,-19.5,O,144,1
Air Force, Mississippi Valley State,REG,W,64-51,L,-19,U,124,1
Alabama, South Dakota State,REG,W,78-65,L,-19,U,154.5,1
Delaware, Delaware State,REG,W,77-69,L,-19,O,140,1
Kansas State, UMKC,REG,W,69-53,L,-19,U,137.5,1
LSU, Texas-Arlington,REG,W,63-59,L,-19,U,132,1
Marquette, North Carolina Central,REG,W,90-78,L,-19,O,146,1
North Carolina, College of Charleston,REG,W,102-86,L,-19,O,163,1
St. Marys, Southern,REG,W,72-54,L,-19,U,132.5,1
West Virginia, Buffalo,REG,W,96-78,L,-19,O,153,1
Auburn, Winthrop,REG,W,89-65,W,-19,O,150,1
Creighton, UC Riverside,REG,W,80-51,W,-19,U,141,1
Kentucky, Duquesne,REG,W,77-52,W,-19,U,147.5,1
Penn State, Canisius,REG,W,97-67,W,-19,O,135.5,1
Pennsylvania, Hartford,REG,W,75-55,W,-19,U,143,1
Seton Hall, Wagner,REG,W,82-44,W,-19,U,133.5,1
Boise State, Cal State-Northridge,REG,W,55-46,L,-18.5,U,130,1
Eastern Washington, Mississippi Valley State,REG,W,60-52,L,-18.5,U,139,1
Georgetown University, Coppin State,REG,W,99-89,L,-18.5,O,148,1
Kent State, Western Michigan,REG,W,80-72,L,-18.5,O,135.5,1
Louisville, Florida A&M,REG,W,61-55,L,-18.5,U,133,1
LSU, Arkansas State,REG,W,61-52,L,-18.5,U,141,1
Oregon State, Florida A&M,REG,W,60-43,L,-18.5,U,134.5,1
USC, Florida Gulf Coast,REG,L,74-61,L,-18.5,U,145,1
Utah State, Dixie State,REG,W,86-81,L,-18.5,O,147.5,1
Vanderbilt, Alabama A&M,REG,W,70-62,L,-18.5,U,139,1
West Virginia, Morehead State,REG,W,75-57,L,-18.5,U,134,1
Arizona State, Grambling State,REG,W,80-49,W,-18.5,U,138.5,1
Baylor, Tarleton State,REG,W,80-57,W,-18.5,U,141.5,1
Butler, New Orleans,REG,W,89-53,W,-18.5,P,142,1
Connecticut, UNC Wilmington,REG,W,86-50,W,-18.5,O,134,1
Florida, Stetson,REG,W,89-51,W,-18.5,U,143.5,1
Kansas State, UTRGV,REG,W,93-59,W,-18.5,O,148.5,1
Loyola-Chicago, Wisconsin-Green Bay,REG,W,70-46,W,-18.5,U,125.5,1
Oral Roberts, Central Arkansas,REG,W,111-78,W,-18.5,O,162.5,1
Penn State, Loyola-Maryland,REG,W,90-65,W,-18.5,O,140.5,1
Pepperdine, Alabama State,REG,W,91-62,W,-18.5,U,159.5,1
Rutgers, Columbia,REG,W,75-35,W,-18.5,U,138,1
Rutgers, Bucknell,REG,W,85-50,W,-18.5,O,132.5,1
SMU, Lamar,REG,W,75-50,W,-18.5,U,138.5,1
Texas Tech, Jackson State,REG,W,102-52,W,-18.5,O,135.5,1
UAB, Southern,REG,W,92-66,W,-18.5,O,156.5,1
Utah, Cal State-Bakersfield,REG,W,72-44,W,-18.5,U,135,1
Clemson, The Citadel,REG,W,80-69,L,-18,O,137.5,1
Colorado State, Southeastern Louisiana,REG,W,80-69,L,-18,O,145.5,1
Florida State, Stetson,REG,L,83-74,L,-18,O,141,1
NC State, Louisville,REG,W,76-64,L,-18,U,145.5,1
Notre Dame, Radford,REG,W,79-76,L,-18,O,137.5,1
Toledo, UMKC,REG,L,83-71,L,-18,O,150,0
UMass-Lowell, St. Francis-Brooklyn,REG,W,68-59,L,-18,U,139.5,1
Dayton, Western Michigan,REG,W,67-47,W,-18,U,127,1
Georgia, Hampton,REG,W,73-54,W,-18,U,144,1
Marquette, Central Michigan,REG,W,97-73,W,-18,O,153,1
Missouri, Southern Illinois-Edwardsville,REG,W,105-80,W,-18,O,157.5,1
Nebraska, Arkansas-Pine Bluff,REG,W,82-58,W,-18,U,142,1
North Texas, Nebraska-Omaha,REG,W,75-45,W,-18,U,121,1
Oklahoma State, Texas A&M-Corpus Christi,REG,W,81-58,W,-18,U,139.5,1
San Francisco, Arkansas-Little Rock,REG,W,90-68,W,-18,O,153,1
Texas, Louisiana-Lafayette,REG,W,100-72,W,-18,O,141.5,1
Virginia Tech, Grambling State,REG,W,74-48,W,-18,U,136.5,1
West Virginia, Navy,REG,W,85-64,W,-18,O,134.5,1
Dayton, Southeastern Louisiana,REG,W,80-74,L,-17.5,O,133.5,1
Duke, Boston College,REG,W,75-59,L,-17.5,O,129.5,1
Indiana State, Northern Illinois,REG,L,67-57,L,-17.5,U,154.5,1
Maryland, UMBC,REG,W,80-64,L,-17.5,U,146,1
Michigan, Eastern Michigan,REG,W,88-83,L,-17.5,O,146,1
Nebraska, Nebraska-Omaha,REG,W,75-61,L,-17.5,U,149.5,1
Northwestern, Northern Illinois,REG,W,63-46,L,-17.5,U,145,1
Southern Indiana, IUPUI,REG,W,87-74,L,-17.5,O,138,1
UC-Santa Barbara, Hampton,REG,W,79-66,L,-17.5,O,139,1
UMass, Dartmouth,REG,W,68-57,L,-17.5,U,136,1
Virginia, Florida State,REG,W,62-57,L,-17.5,U,129.5,1
Boise State, Oakland,REG,W,77-57,W,-17.5,U,138.5,1
Bradley, Stonehill College,REG,W,79-50,W,-17.5,U,137,1
Butler, The Citadel,REG,W,89-42,W,-17.5,U,140.5,1
Colgate, Monmouth,REG,W,85-66,W,-17.5,O,148.5,1
Georgia Tech, Alabama State,REG,W,96-60,W,-17.5,O,137.5,1
Indiana State, Wisconsin-Green Bay,REG,W,80-53,W,-17.5,U,141,1
Iona, Saint Peter's,REG,W,73-55,W,-17.5,U,132.5,1
Texas A&M, Prairie View A&M,REG,W,86-66,W,-17.5,O,140.5,1
UC-Santa Barbara, North Alabama,REG,W,89-71,W,-17.5,O,136.5,1
VCU, Northern Illinois,REG,W,90-63,W,-17.5,O,135.5,1
Wichita State, Central Arkansas,REG,W,79-55,W,-17.5,U,145.5,1
Xavier, Montana,REG,W,86-64,W,-17.5,O,144,1
Drake, UIC,REG,W,77-64,L,-17,U,143,1
East Carolina, South Carolina State,REG,L,73-68,L,-17,U,147.5,1
Indiana, Kennesaw State,REG,W,69-55,L,-17,U,140.5,1
James Madison, Coppin State,REG,L,107-100,L,-17,O,167,0
Kentucky, Yale,REG,W,69-59,L,-17,U,137.5,1
Minnesota, Arkansas-Pine Bluff,REG,W,72-56,L,-17,U,136.5,1
North Texas, Florida International,REG,W,72-57,L,-17,O,126,1
Northwestern, Prairie View A&M,REG,W,61-51,L,-17,U,130,1
San Diego, NJIT,REG,W,74-64,L,-17,O,135,1
San Diego State, Air Force,REG,W,71-55,L,-17,U,132,1
Toledo, Canisius,REG,W,69-68,L,-17,U,155.5,1
Utah State, Weber State,REG,L,75-72,L,-17,O,143,1
Valparaiso, Incarnate Word,REG,W,68-64,L,-17,U,140.5,1
Wisconsin-Milwaukee, IUPUI,REG,W,74-61,L,-17,U,136,1
SMU, Texas A&M-Commerce,REG,W,77-60,P,-17,U,141,1
Arizona State, Alcorn State,REG,W,76-54,W,-17,U,133.5,1
Georgetown University, Wisconsin-Green Bay,REG,W,92-58,W,-17,O,144.5,1
Marshall, Tennessee Tech,REG,W,91-65,W,-17,P,156,1
Maryland, Niagara,REG,W,71-49,W,-17,U,136.5,1
New Mexico, Prairie View A&M,REG,W,94-63,W,-17,O,146.5,1
Oklahoma, UMKC,REG,W,75-53,W,-17,O,122.5,1
Portland, New Orleans,REG,W,100-61,W,-17,O,156.5,1
Richmond, Fairleigh Dickinson,REG,W,77-48,W,-17,U,141.5,1
Syracuse, Lehigh,REG,W,90-72,W,-17,O,143,1
UMass, Central Connecticut State,REG,W,94-67,W,-17,O,144,1
West Virginia, Mount St. Mary's,REG,W,76-58,W,-17,O,130,1
Abilene Christian, Jackson State,REG,W,65-56,L,-16.5,U,141.5,1
Arizona State, Northern Arizona,REG,W,84-68,L,-16.5,O,135,1
Arkansas, Troy,REG,W,74-61,L,-16.5,U,139.5,1
Drake, Valparaiso,REG,W,68-63,L,-16.5,U,140,1
North Florida, South Carolina State,REG,W,72-66,L,-16.5,U,154,1
Ohio, Eastern Illinois,REG,W,78-67,L,-16.5,O,132.5,1
Ohio, Alabama State,REG,W,72-58,L,-16.5,U,141,1
San Diego State, Troy,REG,W,60-55,L,-16.5,U,137.5,1
