Team ,Score ,Away Score ,Home Score ,FG% ,FT% ,3PT ,3PT% ,Assists ,Off. Rebounds ,Turnovers ,Def. Rebounds ,Steals ,Score ,Away Score ,Home Score ,FG% ,FT% ,3PT ,3PT% ,Assists ,
Fordham,73.5,71.5,73.83,43.57,76.05,8.29,33.72,13.29,9.21,14.57,27.71,7.07,66.86,82,64.33,40.5,74.79,6,32.31,11.43,
Fresno State,61.43,60.5,62.67,42.45,73.63,5.86,27.61,11.36,7.93,12.64,23.43,6.36,61.86,63.5,59.67,41.39,74.34,6.57,32.74,9.93,
Furman,81.73,71.5,88.56,49.73,72.15,9.8,34.83,19.47,9.2,13.13,25.53,8.27,72.6,74.5,71.33,46.57,67.86,8.2,37.5,13.4,
Gardner-Webb,73.79,63.44,92.4,47.39,65.85,6.36,32.6,13.71,11.36,13.86,26.64,7.64,63.64,64.11,62.8,37.8,72.73,6.5,32.04,10.5,
George Mason,70.86,63.67,72.82,46.85,62.4,8.36,36.56,14.79,9.71,14.21,27.79,4.07,66.29,68,65.82,40.72,66.02,5.93,27.85,9.5,
George Washington,76,77.4,75.22,48.39,73.84,7.57,32.62,12.93,8.36,12.57,25,5.5,72.21,81,67.33,44.33,62.9,8.14,32.95,15,
Georgetown University,73.47,69.5,74.91,44,71.07,5.93,32.6,11.87,11.8,12.47,25.47,6.07,77.67,82.25,76,44.96,74.12,9.87,36.63,16.87,
Georgia,71.31,71.33,71.3,43.81,73.75,7.08,34.2,12.77,12.08,14.38,26.31,6.92,64,71,61.9,41.5,72.51,6,29,12.23,
Georgia Southern,68.07,65,70.75,44.42,67.28,5.8,27.97,10.6,10.53,11.67,25.6,8.33,62.73,69.29,57,42.05,68.03,6.87,32.49,11.6,
Georgia State,67.57,55,69.67,41.31,73.88,5.07,27.73,10.93,12.21,12.29,24.07,5.71,63,69,62,40.41,67.38,6.64,34.7,11.36,
Georgia Tech,71.23,61.4,77.38,43.62,70.05,6.46,32.56,12.85,10.69,11.08,25.31,6.77,68.62,73,65.88,41.97,64.34,5.46,27.95,14.46,
Gonzaga,86.87,68.5,89.69,52.57,70.75,7.53,37.92,16.87,10.13,12.53,28.13,8.07,72.6,78.5,71.69,43.69,74.39,7.33,31.7,11.93,
Grambling State,67.08,57.14,78.67,43.69,63.49,5.23,33.66,13.15,11.62,15.46,26,8.15,62.46,69.71,54,37.75,65.7,7.23,29.75,12.08,
Grand Canyon,71.64,53.25,79,43.2,70.63,8.07,33.14,12.79,11.86,10.79,28.29,5.57,60.21,58,61.1,37.65,70.59,5.93,29.43,9.21,
Hampton,67.38,66.4,70.67,38.1,65.63,7.77,33.78,11.23,10.69,12.69,24.08,4.23,81.15,84.3,70.67,47.08,69.18,9.23,40.13,16.31,
Hartford,63.53,54.5,69.56,41.85,67.39,6.67,31.25,12.93,9.33,13.8,24.6,6.53,68.67,80.83,60.56,43.2,72.82,8.8,36.57,15.27,
