Team ,Score ,Away Score ,Home Score ,FG% ,FT% ,3PT ,3PT% ,Assists ,Off. Rebounds ,Turnovers ,Def. Rebounds ,Steals ,Score ,Away Score ,Home Score ,FG% ,FT% ,3PT ,3PT% ,Assists ,
UMass,69.54,68.33,70.57,41.83,67.54,5.62,32.88,14.08,12.92,14.46,25.85,7.23,67,66.17,67.71,41.4,67.36,7.23,30.92,14.08,
UMass-Lowell,79.8,76,84.14,50.11,67.92,6.87,38.58,15.73,12.4,15.53,29.27,8.13,63.13,67.63,58,36.63,74.43,6.13,30.36,10.67,
UMBC,75.6,72.29,78.5,43.69,76.5,9.67,35.63,14.8,10.93,10.8,26.8,5.67,73.33,74.43,72.38,45.45,74.06,8.87,39.58,13.2,
UMKC,65.94,62.33,70.57,39.83,71.34,5.94,28.61,9.88,13.75,15.31,25.13,6.94,66.69,72.44,59.29,39.71,74.92,7.31,32.87,11.69,
UNC Asheville,77,71.4,88.2,48.89,66.78,8.27,38.87,13.4,9.13,15.67,26,6.93,72.67,77.2,63.6,43.5,74.54,6.6,30.56,13.13,
UNC Greensboro,70.53,64.71,75.63,42.58,73.18,8.07,34.38,15.27,10.6,13,27,6.6,64.4,65.29,63.63,39.08,71.71,7,29.91,11.13,
UNC Wilmington,71.47,59.43,82,45.69,70.74,6.67,34.84,11.27,10.4,11.13,23.53,6.93,62.8,65.57,60.38,41.84,68.47,5.6,30,9.53,
UNLV,76.93,83.5,75.83,44.28,70.49,8.29,34.32,14.43,11.71,12.71,24.57,10.64,64.5,76.5,62.5,40.2,68.08,8.71,31.94,12.64,
USC,72.33,73,71.89,46.12,71.33,5.8,32.34,14.13,10.13,14.2,26.2,7.2,66.67,68.67,65.33,38.23,72.66,7.6,32.95,12.8,
USC Upstate,70.85,62.5,84.2,46.54,64.5,6.15,35.4,11.62,9.23,13.08,22.15,7.69,72.31,76.88,65,43.3,72.76,6.38,29.86,11.54,
Utah,73.47,62.2,79.1,46.32,69.76,7,36.08,14.4,10.67,13.27,31.2,4.8,61,60.2,61.4,36.11,63.71,5.93,26.18,10.87,
Utah State,83.33,83,83.45,49.59,74.21,10.67,43.36,17.87,8.13,12.27,28.4,4.87,69.87,72.75,68.82,41.14,75.28,7.33,34.48,12.07,
Utah Valley,77.2,70.86,82.75,44.57,73.7,7.53,32.01,16.4,10.27,13,29.4,7.8,67.27,72.86,62.38,39.53,64.84,6.33,29.69,11.6,
UTEP,70.54,67.5,71.89,45.72,60.65,4.62,27.52,13.08,10.92,16.46,26.08,9.15,66.85,84.25,59.11,40.51,72.73,6.08,28.32,10.31,
UTRGV,82.85,70.17,93.71,50.07,68.72,6.38,35.17,16.46,10.62,16.77,27.85,5.15,78.92,89,70.29,43.52,73.12,8.46,33.95,18.23,
UTSA,68.86,67.4,69.67,40.28,72.92,8.29,35.26,12.07,10.57,14.07,24.93,4,74.29,88.2,66.56,43.79,70.29,6.57,31.19,14.21,
Valparaiso,68.33,63.5,71.56,43.11,70.74,5.8,29,12.4,8.8,13,26.27,5.93,73.33,82.17,67.44,43.82,77.46,6.67,32.89,12.47,
Vanderbilt,70.86,73.33,70.18,43.26,67.77,8.29,33.53,12.71,11.5,12.64,26.43,5,66.86,75.67,64.45,41.39,68.55,6.29,29.93,11.93,
VCU,69.43,59.67,72.09,44.03,70.56,6,31.82,12.14,8.79,15.64,24.21,9.57,63.43,69.33,61.82,41.11,71.37,5.93,32.94,11.29,
Vermont,68.33,65.64,75.75,45.28,68.22,8.07,34.47,12.53,7,12.07,25.27,5.27,69,68.36,70.75,45.43,68.73,6.73,34.35,12.07,
Villanova,70.79,67.8,72.44,43.73,84.17,9.07,33.69,12,7.5,10.14,24.71,5.07,67.64,70.6,66,43.35,74.6,8.71,34.76,14.86,
Virginia,69.77,68.6,70.5,45.95,70.88,7.15,37.2,15.92,8.31,9.85,24.38,6.85,59.08,63.8,56.13,40.06,74.12,6.92,33.58,10.54,
Virginia Tech,75.36,71.67,76.36,47.9,73.5,7.86,34.7,14.5,9.29,9.79,27.14,5,63.93,74.67,61,40.5,67.78,6.5,30.64,10.93,
VMI,74.07,62.63,87.14,43.84,76.14,10.47,37.65,12.73,10.6,13.27,26.4,5.8,74.6,79.13,69.43,44.94,66.81,10.13,33.93,16.27,
Wagner,65.08,62.63,69,39.24,63.5,7.62,32.25,12.85,13.46,11.23,23.38,7.46,63.08,68.5,54.4,42.19,71.77,5.62,32.44,10.38,
Wake Forest,75.64,67.4,80.22,45.66,75.56,8.5,35.63,12.64,9.07,13.43,26.57,6.64,71.07,76.4,68.11,43.27,69.79,8.36,32.59,12.07,
Washington,68.8,64.33,69.92,42.89,75.36,6.07,30.33,11,8.87,13.4,24.47,7.2,67.53,69,67.17,42.06,70.09,6.47,28.53,14.2,
Washington State,69.33,63.14,74.75,44.06,72.36,8.53,36.36,11.47,11,13.6,23.93,4.8,65.67,67.43,64.13,45.11,68.13,5.07,31.02,11.4,
Weber State,68.07,61,74.25,44.63,80.97,7.07,33.87,11.4,6.53,13.47,23.93,5.53,68.33,66.43,70,46.06,66.81,8.13,38.61,14.93,
West Virginia,79.43,76,81.33,47.79,70.34,7.29,36.56,14.43,11.36,12.93,24.43,7.36,67.43,72,64.89,42.67,69.93,6.07,31.6,12.07,
Western Carolina,77,65.67,84.56,42.66,71.94,9.87,35.58,13.87,11.67,12.2,27.8,6.13,69.07,69.67,68.67,43.66,70.07,4.87,32.02,11,
Western Illinois,75.71,66.43,85,46.25,71.96,6.79,31.67,14.5,8.71,11.93,26.43,6.43,71.79,75.43,68.14,44.96,70.74,6.07,31.14,9.93,
Western Kentucky,74.69,68.83,79.71,46.35,66.67,8.54,38.95,15.31,8.77,11.38,27,6.31,67.46,70.5,64.86,39.6,72.07,8.62,34.04,11.85,
Western Michigan,68.64,68.13,69.33,44.62,69.59,8,33.43,13.07,12.29,13.71,26,4.79,69.07,77.25,58.17,45.01,66.82,8.29,35.91,14.57,
Wichita State,64.79,50.33,68.73,42.3,68.57,6.64,29.25,10.29,9.57,12.07,27.14,5.57,61.07,53.33,63.18,36.9,72.91,6.64,28.44,12,
William & Mary,68.79,64.14,73.43,43.32,67.06,7.43,36.36,13.07,11.86,11.79,23,7.29,68.43,78,58.86,44.85,72.2,7.21,34.71,13.07,
Winthrop,73.2,66.86,78.75,46.07,74.26,8.2,34.75,11.53,9,15,24.33,5.67,75.13,82,69.13,45.51,63.45,8.27,33.42,15.4,
Wisconsin,68.46,74,66.8,43.11,69.9,8.85,38.21,12.92,7.46,9.69,25.15,7.92,61.15,70.33,58.4,41.95,64.29,6.46,30.43,9.92,
Wisconsin-Green Bay,58.2,53.9,66.8,40.11,71.54,4.93,25.69,10.4,7.27,15,20.53,5.13,75.4,76.6,73,48.7,76.14,7.2,35.29,13.07,
Wisconsin-Milwaukee,78.43,68,86.25,47.69,74.35,8.14,37.62,14.21,11.14,15,27.21,7.71,68.14,78.5,60.38,39.86,68.36,7.64,29.48,12.71,
Wofford,75.33,68.83,79.67,46.55,75.9,7.8,32.05,12.67,10.13,11.33,24.67,5.8,67.93,75.83,62.67,44.86,71.75,7.73,34.12,11.47,
Wright State,78.2,72.57,83.13,50,70.41,5.67,35.56,16,9.2,13.07,26,7.07,72,70.43,73.38,44.33,72.48,8.27,35.13,12.33,
Wyoming,70.86,62,73.27,45.01,69.08,8.93,33.97,12,8.36,11.93,25.07,5,69,68.67,69.09,44.49,76.56,7.79,33.85,11.5,
Xavier,83.8,87.5,82.45,50.83,72.56,7.4,40.36,21,9.73,14,27.87,7.53,73.93,83.25,70.55,43.86,67.04,7.6,37.13,15.13,
Yale,72.54,68.22,82.25,46.4,69.71,7.62,32.57,14.15,11.08,12.15,28.54,6.15,57.08,61.89,46.25,37.78,63.47,5.46,28.86,10.23,
Youngstown State,84.07,80.71,87,49.31,78.06,7.87,37.82,14.33,11.47,13,25.27,7.47,73.33,76,71,45.92,67.46,7.67,36.62,13.93,
